round,condition,accuracy,seconds
0,baseline,0.15,101.26398587226868
1,skill,0.0,115.32368016242981
1,training,0.3,209.2368369102478
2,skill,0.0,118.98810195922852
2,training,0.275,211.62777495384216
3,skill,0.0,121.80864381790161
3,training,0.325,217.14154195785522
4,skill,0.0,130.26930689811707
4,training,0.35,228.78528809547424
5,skill,0.0,133.77402901649475
5,training,0.325,231.54990601539612
