bank_size,beta,condition,mean_train_reward,round,seconds
14,0.07306581730023028,lopd_lite,0.0,1,34.27341413497925
14,0.001633056662976742,lopd_lite,0.125,2,32.420756101608276
14,0.009223750308156017,lopd_lite,0.125,3,37.67166614532471
14,0.08245239968644455,lopd_lite,0.375,4,37.228326082229614
14,0.05749805734318216,lopd_lite,0.125,5,37.338257789611816
